epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
169;5185.791642347418;4431.217633253165;2532.2248514397847;873.4489836911234;3329.9843331518086;5338.373835873398;4168.448086531599
170;3767.6045050341104;4144.035232884327;3405.833451789085;1073.6740465576363;3936.602118323319;4142.250905084429;3983.6544482857607
171;4116.855283867424;4222.0201095535185;3389.634261905047;386.18140993825307;3740.96272021981;5441.24424440797;4071.8182481735093
172;2231.4034291573225;4185.768183449514;2746.2779638167985;798.9591527404812;3811.0110291616415;4189.868466765183;4093.5130012570125
173;3006.6110290449387;4240.833888195666;2447.317204275664;580.8809155569122;4001.476309924888;4642.148225497368;4224.829713660988
174;4803.3202425986865;4143.0530161671295;2859.0435284217233;594.7606497995914;4071.8511104198565;6682.991275745293;3926.4351927320495
175;1695.870312879741;4322.839382292086;3387.286748765967;247.05916461608294;3917.7370465929494;4914.612777501656;4215.566242551026
176;4242.0722479035685;4178.137663827571;3014.178541071627;391.45508988195996;3918.0307709086774;5539.851838376833;3878.516012983842
177;4680.9702188284045;4184.262506161795;1021.9665185643053;409.9266389085865;3955.901622389848;4441.550106578894;4154.84631059066
178;4952.945274473895;4095.0474285008604;3263.438326546236;166.18330668947425;3984.051930965839;5561.187000694949;4139.910267010613
179;4115.96348439453;4300.316111959864;1558.0291908581844;335.74979771450865;3783.9403997469735;4172.879586137358;4277.661127103453
180;5668.532314262703;4398.230701498434;3611.3176685045023;354.4752021959103;4066.208610842446;5804.138421729098;4110.804343726355
181;3545.53765852716;4189.55853491186;1994.4594466944334;169.41149421263646;3913.828937903389;5628.005598202338;4377.272978764283
182;4156.696859915497;4292.631643760612;2579.135197233126;-133.62888457941276;3637.2298706756615;6213.654194345418;4266.085022503458
183;4424.911786200857;4311.632098414413;1977.730285942495;47.81954227583475;3988.473593013815;5940.580560692394;4142.348089316723
184;4815.125807911369;4183.34693481473;2967.9651748060533;230.2052868838161;3919.147347888508;6573.630982237444;4318.57683115419
185;4006.086897032138;4377.112752822679;2861.396034297144;53.69845915011739;3909.3463927670055;6220.360223348187;4421.04198494494
186;4611.841511987177;4334.174030604039;3502.521077979012;-10.666084089029852;4115.915442412153;6711.078054234904;4380.138430302443
187;3516.809848101579;4277.798529305653;3648.334238816842;119.06331238438318;3965.5001597401006;6934.53828778457;4372.031917636121
188;5997.886582752903;4386.449462916756;3345.2014039747082;9.185685234803657;3948.9821594771192;7031.162060245368;4375.284385956858
189;2156.3458213729455;4363.917454126584;2733.770706733723;18.88595030488809;3710.834732305896;6376.757444099154;4338.2039469584515
190;4831.5244917531445;4501.276239846258;2458.562796565056;-25.040349045043474;4058.232068356365;7178.566732958701;4556.967864820222
191;6055.397055320869;4395.730003219146;2243.505771795809;-142.01863304181938;3933.555424098772;7148.637175734648;4312.841789987328
192;6165.159295235679;4313.821365662989;3480.355547834497;92.51945929537187;3946.967201444616;3810.3773960868057;4457.183907100885
193;6244.219880278203;4349.2745362318365;3320.4103950655763;-35.310907673561665;4152.861095660167;7299.658402503713;4402.18660923085
194;5244.812882460449;4308.872610356092;3410.244705246332;-86.84656166047594;3973.60036704133;5747.605654794618;4270.345391232871
195;6665.944383421464;4419.140071548713;3204.1424639678467;26.374079218896192;3971.611015635876;7222.03131478825;4419.008893346627
196;5170.0887027603585;4433.940577580754;3198.25725221559;112.35927068017494;4005.9610957103414;7154.9429184663195;4478.603543685737
197;4025.599255147594;4214.833329990628;3165.1899457038376;187.8379733094912;3953.485186184562;4792.744196452444;4351.98764051507
198;4996.765295670009;4489.9671721420555;2626.3561916090293;139.54762543570519;4107.064273108708;6764.247541406459;4385.908797755724
199;7605.724100387326;4408.0224603952665;3665.4118677828797;81.62363044343361;4052.53659551359;7357.303301248527;4435.247693979169
200;6989.280238408074;4416.146294379278;3480.8351929862474;103.10215321001724;4228.785417622673;6776.731532201695;4602.6239407766325
201;4276.750762336023;4506.1744715552795;3352.082437197007;57.09933142953598;4118.771466325499;6035.548464047432;4580.737251712662
202;6983.367042635829;4372.4229117884715;2992.897217822253;-69.90999900525021;4112.703287280505;6571.335152242935;4516.358773686025
203;7234.924130866488;4280.889848950804;3611.015677690495;165.0292604802628;4013.8755668881377;7348.354905912053;4625.978578566842
204;6184.866815664749;4459.033005258389;3073.099994722359;-0.8778215012393474;4062.6858432727904;6476.04469745805;4856.693972689147
205;7625.351786117217;4242.05381992456;3071.151196957802;294.73515189985113;4139.3419286723965;7512.622799884184;4631.099523709076
